"key_ID","notification_ID","notification_by_ID","notification_by","notification_by_code","start_date","start_year","end_date","end_year","opinion_ID","opinion_by_ID","opinion_by","opinion_by_code"
79,"TRIS:1989:0156:DE:N",3,"Germany","DE",1989-07-04,1989,1990-03-07,1990,"TRIS:1989:0156:DE:O:FR",2,"France","FR"
80,"TRIS:1989:0156:DE:N",3,"Germany","DE",1989-07-04,1989,1990-03-07,1990,"TRIS:1989:0156:DE:O:IE",8,"Ireland","IE"
81,"TRIS:1989:0156:DE:N",3,"Germany","DE",1989-07-04,1989,1990-03-07,1990,"TRIS:1989:0156:DE:O:NL",6,"Netherlands","NL"
82,"TRIS:1989:0156:DE:N",3,"Germany","DE",1989-07-04,1989,1990-03-07,1990,"TRIS:1989:0156:DE:O:UK",9,"United Kingdom","UK"
83,"TRIS:1989:0157:NL:N",6,"Netherlands","NL",1989-07-05,1989,1990-01-08,1990,"TRIS:1989:0157:NL:O:FR",2,"France","FR"
84,"TRIS:1989:0157:NL:N",6,"Netherlands","NL",1989-07-05,1989,1990-01-08,1990,"TRIS:1989:0157:NL:O:IT",4,"Italy","IT"
85,"TRIS:1989:0158:DE:N",3,"Germany","DE",1989-07-05,1989,1990-07-11,1990,"TRIS:1989:0158:DE:O:BE",1,"Belgium","BE"
86,"TRIS:1989:0158:DE:N",3,"Germany","DE",1989-07-05,1989,1990-07-11,1990,"TRIS:1989:0158:DE:O:NL",6,"Netherlands","NL"
87,"TRIS:1989:0159:DE:N",3,"Germany","DE",1989-07-05,1989,1990-01-12,1990,"TRIS:1989:0159:DE:O:FR",2,"France","FR"
88,"TRIS:1989:0163:UK:N",9,"United Kingdom","UK",1989-07-12,1989,1990-02-12,1990,"TRIS:1989:0163:UK:O:FR",2,"France","FR"
89,"TRIS:1989:0164:NL:N",6,"Netherlands","NL",1989-07-12,1989,1990-01-15,1990,"TRIS:1989:0164:NL:O:UK",9,"United Kingdom","UK"
90,"TRIS:1989:0169:DE:N",3,"Germany","DE",1989-07-13,1989,1990-01-19,1990,"TRIS:1989:0169:DE:O:EC",34,"Commission","EC"
91,"TRIS:1989:0171:DE:N",3,"Germany","DE",1989-07-17,1989,1990-01-29,1990,"TRIS:1989:0171:DE:O:EC",34,"Commission","EC"
92,"TRIS:1989:0171:DE:N",3,"Germany","DE",1989-07-17,1989,1990-01-29,1990,"TRIS:1989:0171:DE:O:IT",4,"Italy","IT"
93,"TRIS:1989:0174:DE:N",3,"Germany","DE",1989-07-20,1989,1990-02-08,1990,"TRIS:1989:0174:DE:O:EC",34,"Commission","EC"
94,"TRIS:1989:0177:UK:N",9,"United Kingdom","UK",1989-07-24,1989,1990-03-08,1990,"TRIS:1989:0177:UK:O:DE",3,"Germany","DE"
95,"TRIS:1989:0177:UK:N",9,"United Kingdom","UK",1989-07-24,1989,1990-03-08,1990,"TRIS:1989:0177:UK:O:FR",2,"France","FR"
96,"TRIS:1989:0179:DE:N",3,"Germany","DE",1989-07-25,1989,1990-02-05,1990,"TRIS:1989:0179:DE:O:BE",1,"Belgium","BE"
97,"TRIS:1989:0179:DE:N",3,"Germany","DE",1989-07-25,1989,1990-02-05,1990,"TRIS:1989:0179:DE:O:EC",34,"Commission","EC"
98,"TRIS:1989:0179:DE:N",3,"Germany","DE",1989-07-25,1989,1990-02-05,1990,"TRIS:1989:0179:DE:O:FR",2,"France","FR"
99,"TRIS:1989:0180:FR:N",2,"France","FR",1989-07-26,1989,1990-01-29,1990,"TRIS:1989:0180:FR:O:UK",9,"United Kingdom","UK"
100,"TRIS:1989:0188:DE:N",3,"Germany","DE",1989-08-04,1989,1990-02-19,1990,"TRIS:1989:0188:DE:O:EC",34,"Commission","EC"
101,"TRIS:1989:0189:DE:N",3,"Germany","DE",1989-08-07,1989,1990-03-23,1990,"TRIS:1989:0189:DE:O:EC",34,"Commission","EC"
102,"TRIS:1989:0190:DE:N",3,"Germany","DE",1989-08-07,1989,1990-02-23,1990,"TRIS:1989:0190:DE:O:EC",34,"Commission","EC"
103,"TRIS:1989:0191:DE:N",3,"Germany","DE",1989-08-07,1989,1990-02-23,1990,"TRIS:1989:0191:DE:O:EC",34,"Commission","EC"
104,"TRIS:1989:0194:NL:N",6,"Netherlands","NL",1989-08-09,1989,1990-08-12,1990,"TRIS:1989:0194:NL:O:BE",1,"Belgium","BE"
105,"TRIS:1989:0194:NL:N",6,"Netherlands","NL",1989-08-09,1989,1990-08-12,1990,"TRIS:1989:0194:NL:O:FR",2,"France","FR"
106,"TRIS:1989:0194:NL:N",6,"Netherlands","NL",1989-08-09,1989,1990-08-12,1990,"TRIS:1989:0194:NL:O:UK",9,"United Kingdom","UK"
107,"TRIS:1989:0197:FR:N",2,"France","FR",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:O:DE",3,"Germany","DE"
108,"TRIS:1989:0197:FR:N",2,"France","FR",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:O:IE",8,"Ireland","IE"
109,"TRIS:1989:0197:FR:N",2,"France","FR",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:O:IT",4,"Italy","IT"
110,"TRIS:1989:0197:FR:N",2,"France","FR",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:O:UK",9,"United Kingdom","UK"
111,"TRIS:1989:0200:NL:N",6,"Netherlands","NL",1989-08-16,1989,1990-02-19,1990,"TRIS:1989:0200:NL:O:DE",3,"Germany","DE"
112,"TRIS:1989:0200:NL:N",6,"Netherlands","NL",1989-08-16,1989,1990-02-19,1990,"TRIS:1989:0200:NL:O:EC",34,"Commission","EC"
113,"TRIS:1989:0200:NL:N",6,"Netherlands","NL",1989-08-16,1989,1990-02-19,1990,"TRIS:1989:0200:NL:O:UK",9,"United Kingdom","UK"
114,"TRIS:1989:0201:BE:N",1,"Belgium","BE",1989-08-16,1989,1990-03-01,1990,"TRIS:1989:0201:BE:O:EC",34,"Commission","EC"
115,"TRIS:1989:0202:BE:N",1,"Belgium","BE",1989-08-16,1989,1990-03-05,1990,"TRIS:1989:0202:BE:O:FR",2,"France","FR"
116,"TRIS:1989:0203:UK:N",9,"United Kingdom","UK",1989-08-16,1989,1990-02-19,1990,"TRIS:1989:0203:UK:O:FR",2,"France","FR"
117,"TRIS:1989:0204:UK:N",9,"United Kingdom","UK",1989-08-18,1989,1990-02-19,1990,"TRIS:1989:0204:UK:O:DE",3,"Germany","DE"
118,"TRIS:1989:0204:UK:N",9,"United Kingdom","UK",1989-08-18,1989,1990-02-19,1990,"TRIS:1989:0204:UK:O:EC",34,"Commission","EC"
119,"TRIS:1989:0205:IT:N",4,"Italy","IT",1989-08-18,1989,1990-02-09,1990,"TRIS:1989:0205:IT:O:FR",2,"France","FR"
