"key_ID","notification_ID","notification_by","start_date","start_year","end_date","end_year","comment_ID","comment_by"
91,"TRIS:1989:0242:NL:N","Netherlands",1989-09-29,1989,1990-02-08,1990,"TRIS:1989:0242:NL:C:DE","Germany"
92,"TRIS:1989:0242:NL:N","Netherlands",1989-09-29,1989,1990-02-08,1990,"TRIS:1989:0242:NL:C:EC","Commission"
93,"TRIS:1989:0242:NL:N","Netherlands",1989-09-29,1989,1990-02-08,1990,"TRIS:1989:0242:NL:C:FR","France"
94,"TRIS:1989:0242:NL:N","Netherlands",1989-09-29,1989,1990-02-08,1990,"TRIS:1989:0242:NL:C:UK","United Kingdom"
95,"TRIS:1989:0243:DE:N","Germany",1989-09-29,1989,1990-05-07,1990,"TRIS:1989:0243:DE:C:FR","France"
96,"TRIS:1989:0246:FR:N","France",1989-10-04,1989,1990-04-05,1990,"TRIS:1989:0246:FR:C:EC","Commission"
97,"TRIS:1989:0246:FR:N","France",1989-10-04,1989,1990-04-05,1990,"TRIS:1989:0246:FR:C:ES","Spain"
98,"TRIS:1989:0247:EL:N","Greece",1989-10-04,1989,1990-02-05,1990,"TRIS:1989:0247:EL:C:FR","France"
99,"TRIS:1989:0248:FR:N","France",1989-10-04,1989,1990-04-05,1990,"TRIS:1989:0248:FR:C:ES","Spain"
100,"TRIS:1989:0249:FR:N","France",1989-10-04,1989,1990-04-17,1990,"TRIS:1989:0249:FR:C:EC","Commission"
101,"TRIS:1989:0251:BE:N","Belgium",1989-10-11,1989,1990-10-18,1990,"TRIS:1989:0251:BE:C:DE","Germany"
102,"TRIS:1989:0253:UK:N","United Kingdom",1989-10-12,1989,1990-01-18,1990,"TRIS:1989:0253:UK:C:FR","France"
103,"TRIS:1989:0256:ES:N","Spain",1989-10-23,1989,1990-11-07,1990,"TRIS:1989:0256:ES:C:FR","France"
104,"TRIS:1989:0256:ES:N","Spain",1989-10-23,1989,1990-11-07,1990,"TRIS:1989:0256:ES:C:IT","Italy"
105,"TRIS:1989:0259:FR:N","France",1989-10-26,1989,1990-01-29,1990,"TRIS:1989:0259:FR:C:EC","Commission"
106,"TRIS:1989:0259:FR:N","France",1989-10-26,1989,1990-01-29,1990,"TRIS:1989:0259:FR:C:ES","Spain"
107,"TRIS:1989:0261:DK:N","Denmark",1989-10-31,1989,1990-07-31,1990,"TRIS:1989:0261:DK:C:FR","France"
108,"TRIS:1989:0261:DK:N","Denmark",1989-10-31,1989,1990-07-31,1990,"TRIS:1989:0261:DK:C:NL","Netherlands"
109,"TRIS:1989:0262:DE:N","Germany",1989-11-03,1989,1990-05-10,1990,"TRIS:1989:0262:DE:C:ES","Spain"
110,"TRIS:1989:0263:DK:N","Denmark",1989-11-09,1989,1990-05-29,1990,"TRIS:1989:0263:DK:C:DE","Germany"
111,"TRIS:1989:0264:DK:N","Denmark",1989-11-09,1989,1990-05-29,1990,"TRIS:1989:0264:DK:C:DE","Germany"
112,"TRIS:1989:0264:DK:N","Denmark",1989-11-09,1989,1990-05-29,1990,"TRIS:1989:0264:DK:C:EC","Commission"
113,"TRIS:1989:0265:DE:N","Germany",1989-11-13,1989,1990-02-19,1990,"TRIS:1989:0265:DE:C:NL","Netherlands"
114,"TRIS:1989:0266:IT:N","Italy",1989-11-13,1989,1990-07-04,1990,"TRIS:1989:0266:IT:C:FR","France"
115,"TRIS:1989:0268:DE:N","Germany",1989-11-15,1989,1990-05-22,1990,"TRIS:1989:0268:DE:C:FR","France"
