"key_ID","notification_ID","notification_by_ID","notification_by","notification_by_code","start_date","start_year","end_date","end_year","comment_ID","comment_by_ID","comment_by","comment_by_code"
77,"TRIS:1989:0221:ES:N",12,"Spain","ES",1989-09-12,1989,1990-01-05,1990,"TRIS:1989:0221:ES:C:EC",34,"Commission","EC"
78,"TRIS:1989:0222:DK:N",7,"Denmark","DK",1989-09-12,1989,1990-01-08,1990,"TRIS:1989:0222:DK:C:EC",34,"Commission","EC"
79,"TRIS:1989:0224:UK:N",9,"United Kingdom","UK",1989-09-14,1989,1989-12-18,1989,"TRIS:1989:0224:UK:C:IT",4,"Italy","IT"
80,"TRIS:1989:0146:DK:N",7,"Denmark","DK",1989-09-16,1989,1990-07-11,1990,"TRIS:1989:0146:DK:C:EC",34,"Commission","EC"
81,"TRIS:1989:0146:DK:N",7,"Denmark","DK",1989-09-16,1989,1990-07-11,1990,"TRIS:1989:0146:DK:C:FR",2,"France","FR"
82,"TRIS:1989:0226:EL:N",10,"Greece","EL",1989-09-18,1989,1990-03-19,1990,"TRIS:1989:0226:EL:C:FR",2,"France","FR"
83,"TRIS:1989:0228:BE:N",1,"Belgium","BE",1989-09-18,1989,1990-03-21,1990,"TRIS:1989:0228:BE:C:EC",34,"Commission","EC"
84,"TRIS:1989:0229:NL:N",6,"Netherlands","NL",1989-09-18,1989,1990-03-23,1990,"TRIS:1989:0229:NL:C:DE",3,"Germany","DE"
85,"TRIS:1989:0232:FR:N",2,"France","FR",1989-09-22,1989,1990-03-23,1990,"TRIS:1989:0232:FR:C:UK",9,"United Kingdom","UK"
86,"TRIS:1989:0233:ES:N",12,"Spain","ES",1989-09-25,1989,1990-04-10,1990,"TRIS:1989:0233:ES:C:UK",9,"United Kingdom","UK"
87,"TRIS:1989:0234:ES:N",12,"Spain","ES",1989-09-25,1989,1990-04-10,1990,"TRIS:1989:0234:ES:C:FR",2,"France","FR"
88,"TRIS:1989:0238:BE:N",1,"Belgium","BE",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0238:BE:C:UK",9,"United Kingdom","UK"
89,"TRIS:1989:0239:LU:N",5,"Luxembourg","LU",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0239:LU:C:UK",9,"United Kingdom","UK"
90,"TRIS:1989:0240:NL:N",6,"Netherlands","NL",1989-09-27,1989,1990-03-27,1990,"TRIS:1989:0240:NL:C:UK",9,"United Kingdom","UK"
91,"TRIS:1989:0242:NL:N",6,"Netherlands","NL",1989-09-29,1989,1990-02-08,1990,"TRIS:1989:0242:NL:C:DE",3,"Germany","DE"
92,"TRIS:1989:0242:NL:N",6,"Netherlands","NL",1989-09-29,1989,1990-02-08,1990,"TRIS:1989:0242:NL:C:EC",34,"Commission","EC"
93,"TRIS:1989:0242:NL:N",6,"Netherlands","NL",1989-09-29,1989,1990-02-08,1990,"TRIS:1989:0242:NL:C:FR",2,"France","FR"
94,"TRIS:1989:0242:NL:N",6,"Netherlands","NL",1989-09-29,1989,1990-02-08,1990,"TRIS:1989:0242:NL:C:UK",9,"United Kingdom","UK"
95,"TRIS:1989:0243:DE:N",3,"Germany","DE",1989-09-29,1989,1990-05-07,1990,"TRIS:1989:0243:DE:C:FR",2,"France","FR"
96,"TRIS:1989:0246:FR:N",2,"France","FR",1989-10-04,1989,1990-04-05,1990,"TRIS:1989:0246:FR:C:EC",34,"Commission","EC"
97,"TRIS:1989:0246:FR:N",2,"France","FR",1989-10-04,1989,1990-04-05,1990,"TRIS:1989:0246:FR:C:ES",12,"Spain","ES"
98,"TRIS:1989:0247:EL:N",10,"Greece","EL",1989-10-04,1989,1990-02-05,1990,"TRIS:1989:0247:EL:C:FR",2,"France","FR"
99,"TRIS:1989:0248:FR:N",2,"France","FR",1989-10-04,1989,1990-04-05,1990,"TRIS:1989:0248:FR:C:ES",12,"Spain","ES"
100,"TRIS:1989:0249:FR:N",2,"France","FR",1989-10-04,1989,1990-04-17,1990,"TRIS:1989:0249:FR:C:EC",34,"Commission","EC"
101,"TRIS:1989:0251:BE:N",1,"Belgium","BE",1989-10-11,1989,1990-10-18,1990,"TRIS:1989:0251:BE:C:DE",3,"Germany","DE"
102,"TRIS:1989:0253:UK:N",9,"United Kingdom","UK",1989-10-12,1989,1990-01-18,1990,"TRIS:1989:0253:UK:C:FR",2,"France","FR"
103,"TRIS:1989:0256:ES:N",12,"Spain","ES",1989-10-23,1989,1990-11-07,1990,"TRIS:1989:0256:ES:C:FR",2,"France","FR"
104,"TRIS:1989:0256:ES:N",12,"Spain","ES",1989-10-23,1989,1990-11-07,1990,"TRIS:1989:0256:ES:C:IT",4,"Italy","IT"
105,"TRIS:1989:0259:FR:N",2,"France","FR",1989-10-26,1989,1990-01-29,1990,"TRIS:1989:0259:FR:C:EC",34,"Commission","EC"
106,"TRIS:1989:0259:FR:N",2,"France","FR",1989-10-26,1989,1990-01-29,1990,"TRIS:1989:0259:FR:C:ES",12,"Spain","ES"
107,"TRIS:1989:0261:DK:N",7,"Denmark","DK",1989-10-31,1989,1990-07-31,1990,"TRIS:1989:0261:DK:C:FR",2,"France","FR"
108,"TRIS:1989:0261:DK:N",7,"Denmark","DK",1989-10-31,1989,1990-07-31,1990,"TRIS:1989:0261:DK:C:NL",6,"Netherlands","NL"
109,"TRIS:1989:0262:DE:N",3,"Germany","DE",1989-11-03,1989,1990-05-10,1990,"TRIS:1989:0262:DE:C:ES",12,"Spain","ES"
110,"TRIS:1989:0263:DK:N",7,"Denmark","DK",1989-11-09,1989,1990-05-29,1990,"TRIS:1989:0263:DK:C:DE",3,"Germany","DE"
111,"TRIS:1989:0264:DK:N",7,"Denmark","DK",1989-11-09,1989,1990-05-29,1990,"TRIS:1989:0264:DK:C:DE",3,"Germany","DE"
112,"TRIS:1989:0264:DK:N",7,"Denmark","DK",1989-11-09,1989,1990-05-29,1990,"TRIS:1989:0264:DK:C:EC",34,"Commission","EC"
