"key_ID","notification_ID","notification_by","start_date","start_year","end_date","end_year","opinion_ID","opinion_by"
93,"TRIS:1989:0174:DE:N","Germany",1989-07-20,1989,1990-02-08,1990,"TRIS:1989:0174:DE:C:EC","Commission"
94,"TRIS:1989:0177:UK:N","United Kingdom",1989-07-24,1989,1990-03-08,1990,"TRIS:1989:0177:UK:C:DE","Germany"
95,"TRIS:1989:0177:UK:N","United Kingdom",1989-07-24,1989,1990-03-08,1990,"TRIS:1989:0177:UK:C:FR","France"
96,"TRIS:1989:0179:DE:N","Germany",1989-07-25,1989,1990-02-05,1990,"TRIS:1989:0179:DE:C:BE","Belgium"
97,"TRIS:1989:0179:DE:N","Germany",1989-07-25,1989,1990-02-05,1990,"TRIS:1989:0179:DE:C:EC","Commission"
98,"TRIS:1989:0179:DE:N","Germany",1989-07-25,1989,1990-02-05,1990,"TRIS:1989:0179:DE:C:FR","France"
99,"TRIS:1989:0180:FR:N","France",1989-07-26,1989,1990-01-29,1990,"TRIS:1989:0180:FR:C:UK","United Kingdom"
100,"TRIS:1989:0188:DE:N","Germany",1989-08-04,1989,1990-02-19,1990,"TRIS:1989:0188:DE:C:EC","Commission"
101,"TRIS:1989:0189:DE:N","Germany",1989-08-07,1989,1990-03-23,1990,"TRIS:1989:0189:DE:C:EC","Commission"
102,"TRIS:1989:0190:DE:N","Germany",1989-08-07,1989,1990-02-23,1990,"TRIS:1989:0190:DE:C:EC","Commission"
103,"TRIS:1989:0191:DE:N","Germany",1989-08-07,1989,1990-02-23,1990,"TRIS:1989:0191:DE:C:EC","Commission"
104,"TRIS:1989:0194:NL:N","Netherlands",1989-08-09,1989,1990-08-12,1990,"TRIS:1989:0194:NL:C:BE","Belgium"
105,"TRIS:1989:0194:NL:N","Netherlands",1989-08-09,1989,1990-08-12,1990,"TRIS:1989:0194:NL:C:FR","France"
106,"TRIS:1989:0194:NL:N","Netherlands",1989-08-09,1989,1990-08-12,1990,"TRIS:1989:0194:NL:C:UK","United Kingdom"
107,"TRIS:1989:0197:FR:N","France",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:C:DE","Germany"
108,"TRIS:1989:0197:FR:N","France",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:C:IE","Ireland"
109,"TRIS:1989:0197:FR:N","France",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:C:IT","Italy"
110,"TRIS:1989:0197:FR:N","France",1989-08-11,1989,1990-03-14,1990,"TRIS:1989:0197:FR:C:UK","United Kingdom"
111,"TRIS:1989:0200:NL:N","Netherlands",1989-08-16,1989,1990-02-19,1990,"TRIS:1989:0200:NL:C:DE","Germany"
112,"TRIS:1989:0200:NL:N","Netherlands",1989-08-16,1989,1990-02-19,1990,"TRIS:1989:0200:NL:C:EC","Commission"
113,"TRIS:1989:0200:NL:N","Netherlands",1989-08-16,1989,1990-02-19,1990,"TRIS:1989:0200:NL:C:UK","United Kingdom"
114,"TRIS:1989:0201:BE:N","Belgium",1989-08-16,1989,1990-03-01,1990,"TRIS:1989:0201:BE:C:EC","Commission"
115,"TRIS:1989:0202:BE:N","Belgium",1989-08-16,1989,1990-03-05,1990,"TRIS:1989:0202:BE:C:FR","France"
116,"TRIS:1989:0203:UK:N","United Kingdom",1989-08-16,1989,1990-02-19,1990,"TRIS:1989:0203:UK:C:FR","France"
117,"TRIS:1989:0204:UK:N","United Kingdom",1989-08-18,1989,1990-02-19,1990,"TRIS:1989:0204:UK:C:DE","Germany"
118,"TRIS:1989:0204:UK:N","United Kingdom",1989-08-18,1989,1990-02-19,1990,"TRIS:1989:0204:UK:C:EC","Commission"
119,"TRIS:1989:0205:IT:N","Italy",1989-08-18,1989,1990-02-09,1990,"TRIS:1989:0205:IT:C:FR","France"
120,"TRIS:1989:0206:BE:N","Belgium",1989-08-18,1989,1990-02-23,1990,"TRIS:1989:0206:BE:C:EC","Commission"
121,"TRIS:1989:0208:DE:N","Germany",1989-08-21,1989,1990-08-27,1990,"TRIS:1989:0208:DE:C:EC","Commission"
122,"TRIS:1989:0208:DE:N","Germany",1989-08-21,1989,1990-08-27,1990,"TRIS:1989:0208:DE:C:IT","Italy"
123,"TRIS:1989:0209:DE:N","Germany",1989-08-31,1989,1990-03-06,1990,"TRIS:1989:0209:DE:C:EC","Commission"
124,"TRIS:1989:0209:DE:N","Germany",1989-08-31,1989,1990-03-06,1990,"TRIS:1989:0209:DE:C:FR","France"
125,"TRIS:1989:0209:DE:N","Germany",1989-08-31,1989,1990-03-06,1990,"TRIS:1989:0209:DE:C:IT","Italy"
126,"TRIS:1989:0212:DE:N","Germany",1989-09-01,1989,1990-03-08,1990,"TRIS:1989:0212:DE:C:EC","Commission"
127,"TRIS:1989:0213:UK:N","United Kingdom",1989-09-04,1989,1990-03-07,1990,"TRIS:1989:0213:UK:C:DE","Germany"
128,"TRIS:1989:0213:UK:N","United Kingdom",1989-09-04,1989,1990-03-07,1990,"TRIS:1989:0213:UK:C:EC","Commission"
129,"TRIS:1989:0214:BE:N","Belgium",1989-09-04,1989,1990-03-07,1990,"TRIS:1989:0214:BE:C:EC","Commission"
130,"TRIS:1989:0214:BE:N","Belgium",1989-09-04,1989,1990-03-07,1990,"TRIS:1989:0214:BE:C:IT","Italy"
131,"TRIS:1989:0214:BE:N","Belgium",1989-09-04,1989,1990-03-07,1990,"TRIS:1989:0214:BE:C:UK","United Kingdom"
132,"TRIS:1989:0215:BE:N","Belgium",1989-09-04,1989,1990-09-20,1990,"TRIS:1989:0215:BE:C:FR","France"
133,"TRIS:1989:0216:EL:N","Greece",1989-09-06,1989,1990-03-14,1990,"TRIS:1989:0216:EL:C:EC","Commission"
134,"TRIS:1989:0219:DE:N","Germany",1989-09-08,1989,1990-03-15,1990,"TRIS:1989:0219:DE:C:EC","Commission"
135,"TRIS:1989:0219:DE:N","Germany",1989-09-08,1989,1990-03-15,1990,"TRIS:1989:0219:DE:C:IT","Italy"
136,"TRIS:1989:0220:ES:N","Spain",1989-09-12,1989,1990-04-05,1990,"TRIS:1989:0220:ES:C:EC","Commission"
137,"TRIS:1989:0226:EL:N","Greece",1989-09-18,1989,1990-03-19,1990,"TRIS:1989:0226:EL:C:EC","Commission"
138,"TRIS:1989:0226:EL:N","Greece",1989-09-18,1989,1990-03-19,1990,"TRIS:1989:0226:EL:C:IT","Italy"
139,"TRIS:1989:0227:DE:N","Germany",1989-09-18,1989,1990-03-26,1990,"TRIS:1989:0227:DE:C:EC","Commission"
140,"TRIS:1989:0228:BE:N","Belgium",1989-09-18,1989,1990-03-21,1990,"TRIS:1989:0228:BE:C:FR","France"
